RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Na_sum_Mg,Na_sum_Al,Na_sum_Si,Na_sum_K,Na_sum_Ca,Na_sum_Ba,Mg_sum_Al,Mg_sum_Si,Mg_sum_K,Mg_sum_Ca,Mg_sum_Ba,Al_sum_Si,Al_sum_K,Al_sum_Ca,Al_sum_Ba,Si_sum_K,Si_sum_Ca,Si_sum_Ba,K_sum_Ca,K_sum_Ba,Ca_sum_Ba,Na_diff_Mg,Na_diff_Al,Na_diff_Si,Na_diff_K,Na_diff_Ca,Na_diff_Ba,Mg_diff_Si,Mg_diff_K,Mg_diff_Ca,Al_diff_Si,Al_diff_K,Al_diff_Ba,Si_diff_K,Si_diff_Ca,Si_diff_Ba,K_diff_Ca,K_diff_Ba,Ca_diff_Ba,Mg_mult_Al,Mg_mult_K,Mg_mult_Ba,Mg_mult_Fe,Al_mult_Ca,Al_mult_Fe,K_mult_Ba,K_mult_Fe,Ba_mult_Fe,RI_div_Mg,RI_div_Al,RI_div_K,RI_div_Ba,RI_div_Fe,Na_div_Ca,Mg_div_Al,Mg_div_K,Mg_div_Fe,Al_div_K,Al_div_Ca,K_div_Fe,Ba_div_Fe,class
1.51625,13.36,3.58,1.49,72.72,0.45,8.21,0.0,0.0,16.939999999999998,14.85,86.08,13.809999999999999,21.57,13.36,5.07,76.3,4.03,11.790000000000001,3.58,74.21,1.94,9.700000000000001,1.49,73.17,80.93,72.72,8.66,0.45,8.21,9.78,11.87,-59.36,12.91,5.149999999999999,13.36,-69.14,3.13,-4.630000000000001,-71.23,1.04,1.49,72.27,64.50999999999999,72.72,-7.760000000000001,0.45,8.21,5.3342,1.611,0.0,0.0,12.2329,0.0,0.0,0.0,0.0,0.42353351955307267,1.0176174496644297,3.3694444444444445,0.0,0.0,1.6272838002436052,2.402684563758389,7.955555555555556,0.0,3.311111111111111,0.1814859926918392,0.0,0.0,'build wind non-float'
1.5174299999999998,12.2,3.25,1.16,73.55,0.62,8.9,0.0,0.24,15.45,13.36,85.75,12.819999999999999,21.1,12.2,4.41,76.8,3.87,12.15,3.25,74.71,1.7799999999999998,10.06,1.16,74.17,82.45,73.55,9.52,0.62,8.9,8.95,11.04,-61.349999999999994,11.58,3.299999999999999,12.2,-70.3,2.63,-5.65,-72.39,0.5399999999999999,1.16,72.92999999999999,64.64999999999999,73.55,-8.280000000000001,0.62,8.9,3.7699999999999996,2.015,0.0,0.78,10.324,0.2784,0.0,0.1488,0.0,0.4669015384615384,1.3081293103448275,2.4474677419354838,0.0,6.3226249999999995,1.3707865168539324,2.8017241379310347,5.241935483870968,13.541666666666668,1.8709677419354838,0.13033707865168537,2.5833333333333335,0.0,'build wind non-float'
1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0.0,0.0,16.98,14.0,85.19999999999999,13.340000000000002,23.23,13.21,4.5600000000000005,75.75999999999999,3.9,13.79,3.77,72.78,0.92,10.809999999999999,0.79,72.11999999999999,82.00999999999999,71.99,10.15,0.13,10.02,9.440000000000001,12.420000000000002,-58.779999999999994,13.08,3.1900000000000013,13.21,-68.22,3.64,-6.25,-71.19999999999999,0.66,0.79,71.86,61.97,71.99,-9.889999999999999,0.13,10.02,2.9783,0.49010000000000004,0.0,0.0,7.9158,0.0,0.0,0.0,0.0,0.40377453580901856,1.9268734177215188,11.709461538461538,0.0,0.0,1.318363273453094,4.772151898734177,29.0,0.0,6.076923076923077,0.07884231536926148,0.0,0.0,'build wind float'
1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0.0,0.0,17.79,14.61,85.82000000000001,14.139999999999999,23.68,14.03,4.34,75.55000000000001,3.8699999999999997,13.41,3.76,72.37,0.69,10.23,0.58,71.9,81.44000000000001,71.79,9.76,0.11,9.65,10.27,13.45,-57.760000000000005,13.92,4.379999999999999,14.03,-68.03,3.65,-5.890000000000001,-71.21000000000001,0.47,0.58,71.68,62.14000000000001,71.79,-9.540000000000001,0.11,9.65,2.1807999999999996,0.41359999999999997,0.0,0.0,5.5969999999999995,0.0,0.0,0.0,0.0,0.4045771276595745,2.6227758620689654,13.829181818181818,0.0,0.0,1.4538860103626943,6.482758620689656,34.18181818181818,0.0,5.2727272727272725,0.060103626943005174,0.0,0.0,'vehic wind float'
1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0.0,0.17,16.59,14.9,85.62,13.74,21.520000000000003,13.14,5.21,75.93,4.05,11.830000000000002,3.45,74.24000000000001,2.36,10.14,1.76,73.08,80.86,72.48,8.98,0.6,8.38,9.690000000000001,11.38,-59.34,12.540000000000001,4.76,13.14,-69.03,2.85,-4.930000000000001,-70.72,1.1600000000000001,1.76,71.88000000000001,64.10000000000001,72.48,-7.780000000000001,0.6,8.38,6.072,2.07,0.0,0.5865,14.748800000000001,0.2992,0.0,0.10200000000000001,0.0,0.4396086956521739,0.8617329545454546,2.52775,0.0,8.921470588235294,1.568019093078759,1.960227272727273,5.750000000000001,20.294117647058822,2.9333333333333336,0.21002386634844866,3.529411764705882,0.0,'vehic wind float'
1.5170700000000001,13.48,3.48,1.71,72.52,0.62,7.99,0.0,0.0,16.96,15.190000000000001,86.0,14.1,21.47,13.48,5.1899999999999995,76.0,4.1,11.47,3.48,74.22999999999999,2.33,9.7,1.71,73.14,80.50999999999999,72.52,8.61,0.62,7.99,10.0,11.77,-59.03999999999999,12.860000000000001,5.49,13.48,-69.03999999999999,2.86,-4.51,-70.81,1.0899999999999999,1.71,71.89999999999999,64.53,72.52,-7.37,0.62,7.99,5.9508,2.1576,0.0,0.0,13.6629,0.0,0.0,0.0,0.0,0.43593965517241384,0.8871754385964913,2.446887096774194,0.0,0.0,1.6871088861076347,2.0350877192982457,5.612903225806452,0.0,2.758064516129032,0.21401752190237797,0.0,0.0,'build wind non-float'
1.51719,14.75,0.0,2.0,73.02,0.0,8.53,1.59,0.08,14.75,16.75,87.77,14.75,23.28,16.34,2.0,73.02,0.0,8.53,1.59,75.02,2.0,10.53,3.59,73.02,81.55,74.61,8.53,1.59,10.12,14.75,12.75,-58.269999999999996,14.75,6.220000000000001,13.16,-73.02,0.0,-8.53,-71.02,2.0,0.4099999999999999,73.02,64.49,71.42999999999999,-8.53,-1.59,6.9399999999999995,0.0,0.0,0.0,0.0,17.06,0.16,0.0,0.0,0.1272,0.0,0.758595,0.0,0.9542075471698113,18.964875,1.7291910902696368,0.0,0.0,0.0,0.0,0.2344665885111372,0.0,19.875,headlamps
1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0.0,0.0,16.04,14.200000000000001,85.99000000000001,13.38,20.950000000000003,12.71,4.82,76.61,4.0,11.57,3.33,74.77,2.16,9.73,1.49,73.95,81.52,73.28,8.91,0.67,8.24,9.38,11.22,-60.57,12.040000000000001,4.470000000000001,12.71,-69.95,2.66,-4.91,-71.79,0.82,1.49,72.61,65.04,73.28,-7.57,0.67,8.24,4.9617,2.2311,0.0,0.0,12.2776,0.0,0.0,0.0,0.0,0.45534234234234233,1.0176442953020133,2.2631194029850743,0.0,0.0,1.5424757281553398,2.2348993288590604,4.970149253731343,0.0,2.2238805970149254,0.1808252427184466,0.0,0.0,'build wind non-float'
1.51994,13.27,0.0,1.76,73.03,0.47,11.32,0.0,0.0,13.27,15.03,86.3,13.74,24.59,13.27,1.76,73.03,0.47,11.32,0.0,74.79,2.23,13.08,1.76,73.5,84.35,73.03,11.790000000000001,0.47,11.32,13.27,11.51,-59.760000000000005,12.799999999999999,1.9499999999999993,13.27,-73.03,-0.47,-11.32,-71.27,1.29,1.76,72.56,61.71,73.03,-10.85,0.47,11.32,0.0,0.0,0.0,0.0,19.9232,0.0,0.0,0.0,0.0,0.0,0.8636022727272727,3.2339148936170217,0.0,0.0,1.1722614840989398,0.0,0.0,0.0,3.74468085106383,0.15547703180212014,0.0,0.0,containers
1.51811,12.96,2.96,1.43,72.92,0.6,8.79,0.14,0.0,15.920000000000002,14.39,85.88,13.56,21.75,13.100000000000001,4.39,75.88,3.56,11.75,3.1,74.35000000000001,2.03,10.219999999999999,1.5699999999999998,73.52,81.71000000000001,73.06,9.389999999999999,0.74,8.93,10.0,11.530000000000001,-59.96,12.360000000000001,4.170000000000002,12.82,-69.96000000000001,2.36,-5.829999999999999,-71.49,0.83,1.29,72.32000000000001,64.13,72.78,-8.19,0.45999999999999996,8.649999999999999,4.2328,1.776,0.41440000000000005,0.0,12.569699999999997,0.0,0.084,0.0,0.0,0.5128750000000001,1.0616153846153846,2.5301833333333335,10.843642857142857,0.0,1.4744027303754268,2.06993006993007,4.933333333333334,0.0,2.3833333333333333,0.1626848691695108,0.0,0.0,'build wind non-float'
1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0.0,0.17,16.7,13.92,85.27,13.24,22.9,13.05,4.52,75.87,3.84,13.5,3.65,73.09,1.06,10.719999999999999,0.87,72.41,82.07,72.22,10.04,0.19,9.85,9.4,12.180000000000001,-59.17,12.860000000000001,3.200000000000001,13.05,-68.57,3.46,-6.199999999999999,-71.35,0.6799999999999999,0.87,72.03,62.37,72.22,-9.66,0.19,9.85,3.1755,0.6935,0.0,0.6205,8.5695,0.1479,0.0,0.0323,0.0,0.41685479452054797,1.7488735632183907,8.008,0.0,8.950117647058823,1.3248730964467006,4.195402298850575,19.210526315789473,21.470588235294116,4.578947368421052,0.08832487309644671,1.1176470588235294,0.0,'build wind float'
1.52475,11.45,0.0,1.88,72.19,0.81,13.24,0.0,0.34,11.45,13.329999999999998,83.64,12.26,24.689999999999998,11.45,1.88,72.19,0.81,13.24,0.0,74.07,2.69,15.120000000000001,1.88,73.0,85.42999999999999,72.19,14.05,0.81,13.24,11.45,9.57,-60.739999999999995,10.639999999999999,-1.790000000000001,11.45,-72.19,-0.81,-13.24,-70.31,1.0699999999999998,1.88,71.38,58.949999999999996,72.19,-12.43,0.81,13.24,0.0,0.0,0.0,0.0,24.891199999999998,0.6392,0.0,0.27540000000000003,0.0,0.0,0.8110372340425532,1.8824074074074073,0.0,4.484558823529412,0.8648036253776434,0.0,0.0,0.0,2.3209876543209873,0.14199395770392748,2.3823529411764706,0.0,'build wind non-float'
1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0.0,0.22,16.67,14.04,85.21000000000001,13.57,21.89,12.93,4.8500000000000005,76.02,4.38,12.700000000000001,3.74,73.39,1.75,10.07,1.11,72.92,81.24000000000001,72.28,9.600000000000001,0.64,8.96,9.19,11.82,-59.35,12.29,3.969999999999999,12.93,-68.54,3.1,-5.220000000000001,-71.17,0.4700000000000001,1.11,71.64,63.32,72.28,-8.32,0.64,8.96,4.151400000000001,2.3936,0.0,0.8228000000000001,9.945600000000002,0.24420000000000003,0.0,0.1408,0.0,0.40599197860962566,1.3679369369369367,2.372515625,0.0,6.901863636363636,1.443080357142857,3.369369369369369,5.84375,17.0,1.7343750000000002,0.12388392857142858,2.909090909090909,0.0,'build wind non-float'
1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0.0,0.11,17.05,14.58,86.18,13.96,21.66,13.39,4.85,76.45,4.23,11.93,3.66,73.98,1.7599999999999998,9.459999999999999,1.19,73.36,81.06,72.79,8.84,0.57,8.27,9.73,12.200000000000001,-59.400000000000006,12.82,5.120000000000001,13.39,-69.13000000000001,3.0900000000000003,-4.609999999999999,-71.60000000000001,0.62,1.19,72.22000000000001,64.52000000000001,72.79,-7.699999999999999,0.57,8.27,4.3554,2.0862,0.0,0.4026,9.841299999999999,0.1309,0.0,0.06269999999999999,0.0,0.4146284153005464,1.2752436974789916,2.6623508771929827,0.0,13.79581818181818,1.6191051995163241,3.0756302521008405,6.421052631578948,33.27272727272727,2.0877192982456143,0.14389359129383314,5.181818181818182,0.0,'build wind float'
1.5205799999999998,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51,14.459999999999999,15.02,85.03,13.61,22.549999999999997,13.09,3.7800000000000002,73.79,2.37,11.309999999999999,1.85,74.35000000000001,2.9299999999999997,11.87,2.41,72.94000000000001,81.88000000000001,72.42,10.459999999999999,1.0,9.94,11.24,10.68,-59.330000000000005,12.09,3.1500000000000004,12.61,-70.57000000000001,0.8500000000000001,-8.09,-70.01,1.41,1.93,71.42,62.480000000000004,71.94000000000001,-8.94,0.52,9.459999999999999,3.4937,1.2236,0.3864,0.8211,21.049,1.1067,0.1824,0.3876,0.1224,0.9444596273291924,0.7007281105990782,2.0007631578947365,6.335749999999999,2.9815294117647055,1.324742268041237,0.7419354838709679,2.118421052631579,3.1568627450980395,2.8552631578947367,0.22371134020618558,1.4901960784313726,0.47058823529411764,containers
1.51569,13.24,3.49,1.47,73.25,0.38,8.03,0.0,0.0,16.73,14.71,86.49,13.620000000000001,21.27,13.24,4.96,76.74,3.87,11.52,3.49,74.72,1.85,9.5,1.47,73.63,81.28,73.25,8.41,0.38,8.03,9.75,11.77,-60.01,12.86,5.210000000000001,13.24,-69.76,3.1100000000000003,-4.539999999999999,-71.78,1.0899999999999999,1.47,72.87,65.22,73.25,-7.6499999999999995,0.38,8.03,5.1303,1.3262,0.0,0.0,11.804099999999998,0.0,0.0,0.0,0.0,0.434295128939828,1.0310816326530612,3.988657894736842,0.0,0.0,1.6488169364881695,2.3741496598639458,9.18421052631579,0.0,3.8684210526315788,0.18306351183063513,0.0,0.0,'build wind non-float'
1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0.0,0.0,16.34,14.72,85.68,13.51,20.79,12.82,5.42,76.38,4.21,11.49,3.52,74.76,2.59,9.87,1.9,73.55,80.83,72.86,8.66,0.69,7.97,9.3,10.92,-60.04,12.13,4.8500000000000005,12.82,-69.34,2.83,-4.449999999999999,-70.96,1.21,1.9,72.17,64.89,72.86,-7.279999999999999,0.69,7.97,6.688,2.4288,0.0,0.0,15.142999999999999,0.0,0.0,0.0,0.0,0.4306534090909091,0.7978421052631579,2.1969565217391307,0.0,0.0,1.6085319949811796,1.8526315789473684,5.101449275362319,0.0,2.7536231884057973,0.2383939774153074,0.0,0.0,'build wind non-float'
1.51683,14.56,0.0,1.98,73.29,0.0,8.52,1.57,0.07,14.56,16.54,87.85000000000001,14.56,23.08,16.13,1.98,73.29,0.0,8.52,1.57,75.27000000000001,1.98,10.5,3.55,73.29,81.81,74.86,8.52,1.57,10.09,14.56,12.58,-58.730000000000004,14.56,6.040000000000001,12.99,-73.29,0.0,-8.52,-71.31,1.98,0.4099999999999999,73.29,64.77000000000001,71.72000000000001,-8.52,-1.57,6.949999999999999,0.0,0.0,0.0,0.0,16.8696,0.1386,0.0,0.0,0.10990000000000001,0.0,0.7660757575757575,0.0,0.9661337579617834,21.668999999999997,1.7089201877934275,0.0,0.0,0.0,0.0,0.2323943661971831,0.0,22.428571428571427,headlamps
1.5168700000000002,13.23,3.54,1.48,72.84,0.56,8.1,0.0,0.0,16.77,14.71,86.07000000000001,13.790000000000001,21.33,13.23,5.02,76.38000000000001,4.1,11.64,3.54,74.32000000000001,2.04,9.58,1.48,73.4,80.94,72.84,8.66,0.56,8.1,9.690000000000001,11.75,-59.61,12.67,5.130000000000001,13.23,-69.3,2.98,-4.56,-71.36,0.9199999999999999,1.48,72.28,64.74000000000001,72.84,-7.539999999999999,0.56,8.1,5.2392,1.9824000000000002,0.0,0.0,11.988,0.0,0.0,0.0,0.0,0.4284943502824859,1.0249121621621622,2.708696428571429,0.0,0.0,1.6333333333333335,2.391891891891892,6.321428571428571,0.0,2.642857142857143,0.18271604938271604,0.0,0.0,'build wind non-float'
1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0.0,0.0,16.86,14.67,86.0,13.89,21.66,13.33,4.87,76.2,4.09,11.86,3.53,74.01,1.9000000000000001,9.67,1.34,73.23,81.0,72.67,8.89,0.56,8.33,9.8,11.99,-59.34,12.77,5.0,13.33,-69.14,2.9699999999999998,-4.800000000000001,-71.33,0.78,1.34,72.11,64.34,72.67,-7.77,0.56,8.33,4.7302,1.9768000000000001,0.0,0.0,11.1622,0.0,0.0,0.0,0.0,0.42949008498583574,1.131417910447761,2.7073214285714284,0.0,0.0,1.6002400960384153,2.634328358208955,6.303571428571428,0.0,2.392857142857143,0.16086434573829533,0.0,0.0,'vehic wind float'
1.51674,12.87,3.56,1.64,73.14,0.65,7.99,0.0,0.0,16.43,14.51,86.01,13.52,20.86,12.87,5.2,76.7,4.21,11.55,3.56,74.78,2.29,9.63,1.64,73.79,81.13,73.14,8.64,0.65,7.99,9.309999999999999,11.229999999999999,-60.27,12.219999999999999,4.879999999999999,12.87,-69.58,2.91,-4.43,-71.5,0.9899999999999999,1.64,72.49,65.15,73.14,-7.34,0.65,7.99,5.8384,2.314,0.0,0.0,13.1036,0.0,0.0,0.0,0.0,0.4260505617977528,0.9248414634146341,2.333446153846154,0.0,0.0,1.6107634543178972,2.1707317073170733,5.476923076923077,0.0,2.523076923076923,0.20525657071339173,0.0,0.0,'build wind non-float'
1.5183200000000001,13.33,3.34,1.54,72.14,0.56,8.99,0.0,0.0,16.67,14.870000000000001,85.47,13.89,22.32,13.33,4.88,75.48,3.9,12.33,3.34,73.68,2.1,10.530000000000001,1.54,72.7,81.13,72.14,9.55,0.56,8.99,9.99,11.79,-58.81,12.77,4.34,13.33,-68.8,2.78,-5.65,-70.6,0.98,1.54,71.58,63.15,72.14,-8.43,0.56,8.99,5.1436,1.8704,0.0,0.0,13.8446,0.0,0.0,0.0,0.0,0.45458682634730546,0.985922077922078,2.7112857142857143,0.0,0.0,1.4827586206896552,2.1688311688311686,5.9642857142857135,0.0,2.75,0.17130144605116795,0.0,0.0,'vehic wind float'
1.51115,17.38,0.0,0.34,75.41,0.0,6.65,0.0,0.0,17.38,17.72,92.78999999999999,17.38,24.03,17.38,0.34,75.41,0.0,6.65,0.0,75.75,0.34,6.99,0.34,75.41,82.06,75.41,6.65,0.0,6.65,17.38,17.04,-58.03,17.38,10.729999999999999,17.38,-75.41,0.0,-6.65,-75.07,0.34,0.34,75.41,68.75999999999999,75.41,-6.65,0.0,6.65,0.0,0.0,0.0,0.0,2.261,0.0,0.0,0.0,0.0,0.0,4.444558823529412,0.0,0.0,0.0,2.613533834586466,0.0,0.0,0.0,0.0,0.05112781954887218,0.0,0.0,tableware
1.51645,13.44,3.61,1.54,72.39,0.66,8.03,0.0,0.0,17.05,14.98,85.83,14.1,21.47,13.44,5.15,76.0,4.27,11.639999999999999,3.61,73.93,2.2,9.57,1.54,73.05,80.42,72.39,8.69,0.66,8.03,9.83,11.899999999999999,-58.95,12.78,5.41,13.44,-68.78,2.9499999999999997,-4.42,-70.85,0.88,1.54,71.73,64.36,72.39,-7.369999999999999,0.66,8.03,5.5594,2.3826,0.0,0.0,12.3662,0.0,0.0,0.0,0.0,0.42006925207756235,0.9847077922077923,2.2976515151515153,0.0,0.0,1.6737235367372354,2.344155844155844,5.469696969696969,0.0,2.3333333333333335,0.19178082191780824,0.0,0.0,'build wind non-float'
